id,sellerType,companyName,projectName,projectStatus,latitude,longitude,localityName,suburbName,cityName,propertyType,bedrooms,listingCategory,size,leadType,price
17821751,BUILDER,Jai Vinayak Group,Vinayak Golden Acres,Under Construction,22.70612144,88.34746552,Konnagar,Kolkata West,Kolkata,Apartment,2.0,Primary,736,paid,1968800
17766246,BUILDER,Merlin Group,Skygaze,Under Construction,22.40437126,88.41282654,Chowhati,Kolkata South,Kolkata,Apartment,2.0,Primary,688,paid,3645712
17600681,BUILDER,Bhawani Group,Bhawani Twin Towers,Ready to move,22.58830833,88.33557892,Howrah,Kolkata West,Kolkata,Apartment,2.0,Primary,1040,paid,6159920
17373553,BUILDER,Signum Group,Parkwoods Estate Phase II,Under Construction,22.84635353,88.34458923,Mankundu,Kolkata West,Kolkata,Apartment,2.0,Primary,642,paid,1900320
17760296,BUILDER,Ganguly Group,4 Sight Grand Castle,Under Construction,22.45446205,88.38698578,Garia,Kolkata South,Kolkata,Apartment,3.0,Primary,1439,paid,8634000
17512183,BUILDER,GPS Group,Meena Fortuna,Under Construction,22.59155273,88.45384216,Rajarhat,Kolkata East,Kolkata,Apartment,3.0,Primary,1371,paid,5209800
17607265,BUILDER,SKDJ Group,Signature 18,Under Construction,22.52139473,88.37875366,Kasba,Kolkata South,Kolkata,Apartment,3.0,Primary,1145,paid,10839715
17314987,BUILDER,Gems Group,Gems Bougainvillas,Under Construction,22.45122147,88.30044556,Joka,Kolkata South,Kolkata,Villa,4.0,Primary,1464,paid,9500000
17469261,BUILDER,Kosmic Estate,North Grande,Ready to move,22.65354347,88.41343689,Dum Dum,Kolkata North,Kolkata,Apartment,3.0,Primary,1312,paid,6500960
17189095,BUILDER,Fortune Realty,Heights,Ready to move,22.74029541,88.48401642,Barasat,Kolkata North,Kolkata,Apartment,2.0,Primary,705,paid,2467500
17575131,BUILDER,EDEN GROUP,The Forest,Under Construction,22.61613846,88.39013672,Dum Dum,Kolkata North,Kolkata,Apartment,2.0,Primary,735,paid,5963055
17221233,BUILDER,Eden City Group,Eden City Maheshtala,Ready to move,22.49346924,88.21096039,Maheshtala,Kolkata South,Kolkata,Apartment,3.0,Primary,1377,paid,4268700
17170527,BUILDER,Vedic Realty,Vedic Village Greentech City,Ready to move,22.60966492,88.52849579,Rajarhat,Kolkata East,Kolkata,Villa,6.0,Primary,6091,paid,45097764
17706820,BUILDER,Neelkanth Nirman Pvt Ltd,Chitrakut Heights,Under Construction,22.57255936,88.49415588,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1278,paid,5751000
16973015,BUILDER,Magnolia Infrastructure Development Limited,Empire,Under Construction,22.69687653,88.44582367,Madhyamgram,Kolkata North,Kolkata,Apartment,3.0,Primary,1141,paid,4107600
16734871,BUILDER,Loharuka Group,Green Heights II,Under Construction,22.63344383,88.46679688,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,920,paid,6164000
16962550,BUILDER,SHREE KRISHNA INFRA DEVELOPERS,Nirmala Prakash,Under Construction,22.60819244,88.4046936,Lake Town,Kolkata North,Kolkata,Apartment,3.0,Primary,1406,paid,6748800
17720175,BUILDER,GM Group,Meena Eco Vista,Under Construction,22.60127449,88.46170044,New Town,Kolkata East,Kolkata,Apartment,3.0,Primary,1438,paid,7477600
16400898,BUILDER,NPR Group Sriji Group,Gitanjali Apartments,Under Construction,22.6974659,88.38023376,Sodepur,Kolkata North,Kolkata,Apartment,3.0,Primary,934,paid,2500318
17821750,BUILDER,Jai Vinayak Group,Vinayak Golden Acres,Under Construction,22.70612144,88.34746552,Konnagar,Kolkata West,Kolkata,Apartment,3.0,Primary,935,paid,2501125
17708996,BUILDER,Merlin Group,Merlin Aquaville,Under Construction,22.61479568,88.49264526,Bishnupur,Kolkata South,Kolkata,Villa,3.0,Primary,2214,paid,17300000
17600679,BUILDER,Bhawani Group,Bhawani Twin Towers,Ready to move,22.58830833,88.33557892,Howrah,Kolkata West,Kolkata,Apartment,2.0,Primary,1160,paid,6728000
17373550,BUILDER,Signum Group,Parkwoods Estate Phase II,Under Construction,22.84635353,88.34458923,Mankundu,Kolkata West,Kolkata,Apartment,2.0,Primary,697,paid,2100061
17760295,BUILDER,Ganguly Group,4 Sight Grand Castle,Under Construction,22.45446205,88.38698578,Garia,Kolkata South,Kolkata,Apartment,3.0,Primary,1422,paid,8532000
17512182,BUILDER,GPS Group,Meena Fortuna,Under Construction,22.59155273,88.45384216,Rajarhat,Kolkata East,Kolkata,Apartment,2.0,Primary,874,paid,3321200
17607263,BUILDER,SKDJ Group,Signature 18,Under Construction,22.52139473,88.37875366,Kasba,Kolkata South,Kolkata,Apartment,4.0,Primary,1416,paid,13000296
